Gemeinde,Region
Roches (BE),3
Rodersdorf,3
Roggenburg,3
Roggliswil,3
Roggwil (BE),3
Roggwil (TG),2
Rohr (SO),3
Rohrbach,3
Rohrbachgraben,3
Rolle,2
Romainmôtier-Envy,3
Romanel-sur-Lausanne,2
Romanel-sur-Morges,3
Romanshorn,2
Römerswil,3
Romont (BE),3
Romont (FR),2
Romoos,3
Ronco sopra Ascona,2
Rongellen,3
Root,2
Ropraz,3
Rorbas,2
Rorschach,2
Rorschacherberg,2
Röschenz,2
Rossa,3
Rossemaison,2
Rossenges,3
Rossinière,3
Röthenbach im Emmental,3
Rothenbrunnen,3
Rothenburg,2
Rothenfluh,3
Rothenthurm,3
Rothrist,3
Rottenschwil,3
Rougemont,3
Roveredo (GR),3
Rovio,2
Rovray,3
Rubigen,2
Rüderswil,3
Rüdlingen,3
Rudolfstetten-Friedlisberg,2
Rüdtligen-Alchenflüh,2
Rue,3
Rüeggisberg,3
Rüegsau,3
Rueyres,3
Rüfenach,2
Rumendingen,3
Rümikon,3
Rumisberg,3
Rümlang,2
Rümligen,2
Rümlingen,3
Rünenberg,3
Rupperswil,2
Rüschegg,3
Rüschlikon,2
Russikon,2
Russin,3
Ruswil,2
Rüte,3
Rüthi (SG),3
Rüti (ZH),2
Rüti bei Büren,3
Rüti bei Lyssach,3
Rütschelen,3
Rüttenen,2
Saanen,2
Saas-Almagell,3
Saas-Balen,3
Saas-Fee,2
Saas-Grund,3
Sachseln,2
Safenwil,2
Safiental,3
Safnern,2
Sagogn,3
Saicourt,3
Saignelégier,2
Saillon,2
Saint-Aubin (FR),3
Saint-Barthélemy (VD),3
Saint-Blaise,2
Saint-Brais,3
Saint-Cergue,3
Sainte-Croix,2
Saint-George,3
Saint-Gingolph,3
Saint-Imier,2
Saint-Légier-La Chiésaz,2
Saint-Léonard,2
Saint-Livres,3
Saint-Martin (FR),3
Saint-Martin (VS),3
Saint-Maurice,2
Saint-Oyens,3
Saint-Prex,2
Saint-Saphorin (Lavaux),2
Saint-Sulpice (VD),2
Salenstein,3
Sâles,3
Salgesch,3
Salmsach,2
Salvan,3
Samedan,2
Samnaun,3
San Vittore,2
Santa Maria in Calanca,3
Sant'Antonino,2
Sargans,2
Sarmenstorf,3
Sarnen,2
Satigny,2
Sattel,3
Saubraz,2
Sauge,3
Saulcy,3
Saules (BE),3
Savièse,2
Savigny,3
Savosa,2
Saxeten,3
Saxon,2
Schaffhausen,2
Schafisheim,2
S-chanf,3
Schangnau,3
Schänis,2
Scharans,3
Schattdorf,2
Schattenhalb,2
Schelten,3
Schenkon,2
Scheuren,2
Schiers,2
Schinznach,2
Schlatt (TG),3
Schlatt (ZH),3
Schlatt-Haslen,3
Schleinikon,2
Schleitheim,2
Schlierbach,3
Schlieren,2
Schlossrued,3
Schluein,3
Schmerikon,2
Schmiedrued,3
Schmitten (FR),2
Schmitten (GR),3
Schneisingen,2
Schnottwil,3
Schöfflisdorf,2
Schöftland,2
Schönenbuch,3
Schönengrund,3
Schönenwerd,2
Schongau,3
Schönholzerswilen,3
Schötz,3
Schübelbach,2
Schupfart,3
Schüpfen,2
Schüpfheim,2
Schwaderloch,3
Schwadernau,2
Schwanden bei Brienz,2
Schwarzenberg,3
Schwarzenburg,2
Schwarzhäusern,3
Schwellbrunn,3
Schwende,3
Schwerzenbach,2
Schwyz,2
Scuol,2
Seeberg,3
Seedorf (BE),2
Seedorf (UR),2
Seegräben,2
Seehof,3
Seelisberg,3
Seengen,3
Seewen,3
Seewis im Prättigau,3
Seftigen,2
Seltisberg,2
Selzach,2
Sembrancher,3
Sempach,3
Semsales,3
Senarclens,3
Senèdes,3
Sennwald,3
Seon,3
Sergey,3
Serravalle,3
Servion,3
Sessa,2
Seuzach,2
Sévaz,3
Sevelen,2
Sévery,3
Siblingen,3
Sierre,2
Siglistorf,3
Signau,3
Signy-Avenex,2
Sigriswil,2
Silenen,3
Sils im Domleschg,3
Sils im Engadin/Segl,3
Silvaplana,3
Simplon,3
Sins,2
Sion,2
Sirnach,2
Siselen,3
Sisikon,3
Sissach,2
Sisseln,2
Siviriez,3
Soazza,3
Solothurn,2
Sommeri,3
Sonceboz-Sombeval,3
Sonogno,3
Sonvilier,3
Soral,2
Sorengo,2
Sorens,3
Sorvilier,3
Soubey,3
Soyhières,3
Speicher,2
Spiez,2
Spiringen,3
Spreitenbach,2
St. Antoni,3
St. Gallen,2
St. Margrethen,2
St. Moritz,2
St. Niklaus,3
St. Silvester,3
St. Stephan,3
St. Ursen,3
Stabio,2
Stadel,2
Stäfa,2
Staffelbach,3
Stalden (VS),3
Staldenried,3
Stallikon,2
Stammheim,3
Stans,2
Stansstad,2
Starrkirch-Wil,2
Staufen,2
Steckborn,2
Steffisburg,2
Steg-Hohtenn,2
Stein (AG),2
Stein (AR),3
Stein am Rhein,2
Steinach,2
Steinen,3
Steinerberg,3
Steinhausen,2
Steinmaur,2
Stetten (AG),2
Stetten (SH),3
Stettfurt,3
Stettlen,2
Stocken-Höfen,3
Strengelbach,2
Studen (BE),2
Stüsslingen,3
Subingen,2
Suchy,3
Sufers,3
Suhr,2
Sulgen,3
Sullens,3
Sumiswald,3
Sumvitg,3
Surpierre,3
Sursee,2
Surses,3
Suscévaz,3
Sutz-Lattrigen,2
Syens,3
Tafers,2
Tägerig,2
Tägerwilen,3
Tamins,3
Tannay,2
Tartegnin,2
Täsch,3
Täuffelen,2
Tavannes,2
Tecknau,3
Tegerfelden,3
Tenero-Contra,2
Tenniken,3
Tentlingen,2
Termen,2
Terre di Pedemonte,2
Teufen (AR),2
Teufenthal (AG),3
Teuffenthal (BE),3
Tévenon,3
Thal,2
Thalheim (AG),3
Thalheim an der Thur,3
Thalwil,2
Thayngen,2
Therwil,2
Thierachern,2
Thônex,2
Thörigen,3
Thun,2
Thundorf,3
Thunstetten,3
Thurnen,2
Thürnen,2
Thusis,2
Titterten,3
Tobel-Tägerschen,3
Toffen,2
Tolochenaz,2
Törbel,3
Torny,3
Torricella-Taverne,2
Trachselwald,3
Tramelan,2
Trasadingen,2
Treiten,3
Trélex,2
Trey,3
Treycovagnes,2
Treytorrens (Payerne),3
Treyvaux,2
Triengen,2
Trient,3
Trimbach,2
Trimmis,2
Trin,3
Trogen,2
Troinex,2
Troistorrents,2
Trub,3
Trubschachen,3
Trüllikon,3
Trun,3
Truttikon,3
Tschappina,3
Tschiertschen-Praden,3
Tschugg,3
Tübach,2
Tuggen,2
Tujetsch,3
Turbenthal,2
Turgi,2
Turtmann-Unterems,3
Twann-Tüscherz,3
Udligenswil,2
Ueberstorf,3
Uebeschi,3
Ueken,2
Uerkheim,3
Uesslingen-Buch,3
Uetendorf,2
Uetikon am See,2
Uezwil,3
Ufhusen,3
Uitikon,2
Ulmiz,3
Unterägeri,2
Unterbäch,3
Untereggen,3
Unterengstringen,2
Unterentfelden,2
Unteriberg,3
Unterkulm,3
Unterlangenegg,3
Unterlunkhofen,2
Unterramsern,3
Unterschächen,3
Unterseen,2
Untersiggenthal,2
Untervaz,2
Urdorf,2
Urmein,3
Urnäsch,3
Ursenbach,3
Ursins,3
Ursy,3
Urtenen-Schönbühl,2
Uster,2
Uttigen,2
Uttwil,2
Utzenstorf,3
Uznach,2
Uzwil,2
Vacallo,2
Val Müstair,3
Val Terbi,2
Valangin,3
Valbirse,2
Valbroye,3
Val-de-Charmey,2
Val-de-Ruz,2
Val-de-Travers,2
Val-d'Illiez,3
Valeyres-sous-Montagny,2
Valeyres-sous-Rances,3
Valeyres-sous-Ursins,3
Vallon,3
Vallorbe,2
Vals,3
Valsot,3
Vandoeuvres,2
Varen,3
Vaulion,3
Vaulruz,3
Vaux-sur-Morges,2
Vaz/Obervaz,3
Vechigen,2
Veltheim (AG),2
Vendlincourt,3
Venthône,2
Vernate,2
Vernayaz,2
Vernier,2
Vérossaz,3
Versoix,2
Vétroz,2
Vevey,2
Vex,3
Veyras,2
Veyrier,2
Veysonnaz,3
Veytaux,2
Vezia,2
Vich,2
Vico Morcote,3
Villarsel-sur-Marly,3
Villars-Epeney,3
Villars-le-Comte,3
Villars-le-Terroir,2
Villars-Sainte-Croix,2
Villars-sous-Yens,3
Villars-sur-Glâne,2
Villarzel,3
Villaz,3
Villeneuve (VD),2
Villeret,2
Villigen,3
Villmergen,2
Villnachern,3
Villorsonnens,3
Vilters-Wangs,2
Vinelz,3
Vinzel,2
Vionnaz,2
Visp,2
Visperterminen,3
Vitznau,3
Vogorno,3
Volken,2
Volketswil,2
Vollèges,3
Vordemwald,3
Vorderthal,3
Vouvry,2
Vuadens,2
Vuarrens,3
Vucherens,3
Vufflens-la-Ville,3
Vufflens-le-Château,2
Vugelles-La Mothe,3
Vuisternens-devant-Romont,3
Vuiteboeuf,3
Vulliens,3
Vullierens,3
Vully-les-Lacs,3
Wachseldorn,3
Wädenswil,2
Wagenhausen,2
Wahlen,2
Walchwil,2
Wald (AR),3
Wald (BE),3
Wald (ZH),2
Waldenburg,3
Wäldi,3
Waldkirch,2
Waldstatt,2
Walenstadt,2
Walkringen,3
Wallbach,2
Wallisellen,2
Walliswil bei Niederbipp,3
Walliswil bei Wangen,3
Walperswil,3
Waltenschwil,2
Walterswil (BE),3
Walterswil (SO),2
Walzenhausen,2
Wangen (SZ),2
Wangen an der Aare,3
Wangen bei Olten,2
Wangen-Brüttisellen,2
Wangenried,3
Wängi,2
Wartau,3
Warth-Weiningen,3
Wassen,3
Wasterkingen,3
Wattenwil,2
Wattwil,2
Wauwil,3
Weesen,2
Wegenstetten,2
Weggis,2
Weiach,2
Weinfelden,2
Weiningen (ZH),2
Weisslingen,2
Welschenrohr,3
Wengi,3
Wenslingen,3
Werthenstein,3
Wettingen,2
Wettswil am Albis,2
Wetzikon (ZH),2
Wichtrach,2
Widen,2
Widnau,2
Wiedlisbach,3
Wiesendangen,2
Wiggiswil,3
Wigoltingen,3
Wikon,2
Wil (SG),2
Wil (ZH),3
Wila,2
Wilchingen,3
Wildberg,3
Wilderswil,2
Wildhaus-Alt St. Johann,3
Wilen (TG),2
Wiler (Lötschen),3
Wiler bei Utzenstorf,3
Wileroltigen,3
Wiliberg,3
Willadingen,3
Willisau,2
Wimmis,2
Windisch,2
Winkel,2
Wintersingen,3
Winterthur,2
Winznau,2
Wisen (SO),3
Wislikofen,3
Wittenbach,2
Witterswil,2
Wittinsburg,3
Wittnau,3
Wohlen (AG),2
Wohlen bei Bern,2
Wohlenschwil,2
Wolfenschiessen,3
Wolfhalden,2
Wölflinswil,3
Wolfwil,3
Wolhusen,2
Wollerau,2
Worb,2
Worben,2
Wünnewil-Flamatt,2
Wuppenau,3
Würenlingen,2
Würenlos,2
Wynau,3
Wynigen,3
Wyssachen,3
Yens,3
Yverdon-les-Bains,2
Yvonand,2
Yvorne,3
Zäziwil,2
Zeglingen,3
Zeihen,3
Zeiningen,2
Zell (LU),3
Zell (ZH),2
Zeneggen,3
Zermatt,2
Zernez,3
Zetzwil,3
Ziefen,3
Zielebach,2
Zihlschlacht-Sitterdorf,3
Zillis-Reischen,3
Zizers,2
Zofingen,2
Zollikofen,2
Zollikon,2
Zuchwil,2
Zufikon,2
Zug,2
Zullwil,2
Zumikon,2
Zunzgen,2
Zuoz,3
Zürich,1
Zuzgen,3
Zuzwil (BE),3
Zuzwil (SG),2
Zweisimmen,3
Zwieselberg,3
Zwingen,2
Zwischbergen,3
